,id,psnr,ssim,lpips
98,001094450869_slice19,37.645427071600885,0.9763934715499878,0.2294493168592453
99,000303269784_slice1,38.15309016470409,0.9744735470895767,0.11935877799987793
100,000939176033_slice2,36.28421456267844,0.9653209504766465,0.3462144136428833
101,000998241845_slice6,33.33917958677911,0.9450425226264,0.25715896487236023
102,000303851049_slice13,37.0619126039465,0.975132692492485,0.09895367920398712
103,001814461524_slice8,34.04409664543555,0.9572792072029114,0.21694977581501007
104,001009914240_slice12,34.26755332179309,0.9624120218343735,0.22701244056224823
105,000324094767_slice5,38.78098864341566,0.978684524143219,0.12495210766792297
106,001884195185_slice2,34.21517926471867,0.9581475767097473,0.1941196322441101
107,000913186207_slice7,32.80172205255766,0.9443161912002563,0.25944167375564575
108,001074909456_slice24,38.06812959899555,0.9774016416873932,0.26672253012657166
109,001839278328_slice25,38.684027739377,0.9818610280799865,0.3200349509716034
110,000500882566_slice14,33.47475579857647,0.9634188733930588,0.14954739809036255
111,001874921003_slice8,33.8666162060869,0.9506822941045762,0.24124258756637573
112,000500882566_slice26,42.388469350603785,0.9869139695072174,0.20366570353507996
113,001025550152_slice14,32.541750802682415,0.9570932460050583,0.21837370097637177
114,001050720368_slice2,31.785200450455772,0.9441561916208268,0.2382192760705948
115,000995235335_slice21,32.91174813361095,0.9325297540578842,0.3090612590312958
116,001866093123_slice23,34.01476739617963,0.9653691125822067,0.2450244128704071
117,001816033517_slice22,36.887863635942495,0.9759808874740601,0.2135942429304123
118,001808012216_slice19,35.40169827826699,0.9682208511343002,0.17937208712100983
119,000376668598_slice3,35.5819770622106,0.9685016820287704,0.1116444319486618
120,001884195185_slice21,37.0853722800624,0.9777137391204834,0.16927732527256012
121,000331146774_slice24,39.66000263668938,0.9882262205820084,0.05795474350452423
122,000584487897_slice7,32.21110416801536,0.9462659519309997,0.20400792360305786
123,001854193267_slice1,30.91421236748618,0.9353522385663986,0.2544223368167877
124,000367047295_slice6,37.0387471256106,0.9703923849620819,0.11118263751268387
125,000975312606_slice17,31.68783676568014,0.923270580983162,0.27567166090011597
126,000310542253_slice10,37.83160625803787,0.9733060250844956,0.10793854296207428
127,001874921003_slice22,36.039562282370724,0.9677796255817414,0.2505809962749481
128,001896831287_slice22,37.3633933615097,0.9784643981943131,0.14579877257347107
129,001029291693_slice14,33.27868061215826,0.9539262483377456,0.20253878831863403
130,000934994990_slice17,31.78109968382653,0.9200457576069832,0.2840211093425751
131,000543307151_slice18,37.85919963993417,0.9802326021871567,0.08944308757781982
132,001866093123_slice7,31.307666774300582,0.9343174856910705,0.25352081656455994
133,001866093123_slice6,31.416753815976207,0.9365853712406158,0.24755170941352844
134,000945361230_slice1,39.92939917520428,0.9744407851209641,0.3802430331707001
135,001025290760_slice11,32.59026305403361,0.9485133038520813,0.2273891419172287
136,001849667681_slice20,37.45520155337159,0.9799595126428604,0.11258694529533386
137,000373206786_slice25,41.696401621483545,0.9902674329452514,0.057110607624053955
138,000305738011_slice3,38.30134637680019,0.9753785060901642,0.1291259378194809
139,000970643018_slice16,41.13200502482328,0.9900510626678467,0.0550515353679657
